instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,Unnamed: 0,atemp,hum,windspeed,casual,registered,cnt,instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
23,01-01-2011,1,0,1,22,False,6,2,0.4,22,0.4091,0.94,0.2239,11,17,28,642.0,30-01-2011,1.0,0.0,1.0,0.0,False,0.0,1.0,0.16,0.1818,0.8,0.1045,0.0,33.0,33.0
24,01-01-2011,1,0,1,23,False,6,2,0.46,23,,0.88,0.2985,15,24,39,643.0,30-01-2011,1.0,0.0,1.0,1.0,False,0.0,1.0,0.14,0.2121,0.8,0.0,7.0,22.0,29.0
25,02-01-2011,1,0,1,0,False,0,2,0.46,24,0.4545,0.88,0.2985,4,13,17,644.0,30-01-2011,1.0,0.0,1.0,2.0,False,0.0,1.0,0.16,0.2273,0.8,0.0,1.0,10.0,11.0
26,02-01-2011,1,0,1,1,False,0,2,0.44,25,0.4394,0.94,0.2537,1,16,17,645.0,30-01-2011,1.0,0.0,1.0,3.0,False,0.0,1.0,0.14,0.2121,0.93,0.0,1.0,7.0,8.0
27,02-01-2011,1,0,1,2,False,0,2,0.42,26,0.4242,1.0,0.2836,1,8,9,646.0,30-01-2011,1.0,0.0,1.0,4.0,False,0.0,1.0,0.14,0.2121,0.93,0.0,0.0,1.0,1.0
28,02-01-2011,1,0,1,3,False,0,2,0.46,27,0.4545,0.94,0.194,2,4,6,647.0,30-01-2011,1.0,0.0,1.0,5.0,False,0.0,1.0,0.14,0.2121,0.86,0.0,0.0,3.0,3.0
29,02-01-2011,1,0,1,4,False,0,2,0.46,28,,0.94,0.194,2,1,3,648.0,30-01-2011,1.0,0.0,1.0,7.0,False,0.0,1.0,0.14,0.2121,0.86,0.0,0.0,3.0,3.0
30,02-01-2011,1,0,1,6,False,0,3,0.42,29,0.4242,0.77,0.2985,0,2,2,649.0,30-01-2011,1.0,0.0,1.0,8.0,False,0.0,2.0,0.14,0.2121,0.86,0.0,1.0,11.0,12.0
31,02-01-2011,1,0,1,7,False,0,2,0.4,30,0.4091,0.76,0.194,0,1,1,650.0,30-01-2011,1.0,0.0,1.0,9.0,False,0.0,2.0,0.16,0.2273,0.8,0.0,4.0,34.0,38.0
32,02-01-2011,1,0,1,8,False,0,3,0.4,31,0.4091,0.71,0.2239,0,8,8,651.0,30-01-2011,1.0,0.0,1.0,10.0,False,0.0,2.0,0.18,0.2424,0.8,0.0,7.0,57.0,64.0
33,02-01-2011,1,0,1,9,False,0,2,0.38,32,,0.76,0.2239,1,19,20,652.0,30-01-2011,1.0,0.0,1.0,11.0,False,0.0,1.0,0.22,0.2727,0.75,0.0,9.0,50.0,59.0
34,02-01-2011,1,0,1,10,False,0,2,0.36,33,0.3485,0.81,0.2239,7,46,53,653.0,30-01-2011,1.0,0.0,1.0,12.0,False,0.0,1.0,0.3,0.3182,0.52,0.1045,10.0,87.0,97.0
35,02-01-2011,1,0,1,11,False,0,2,0.36,34,0.3333,0.71,0.2537,16,54,70,654.0,30-01-2011,1.0,0.0,1.0,13.0,False,0.0,1.0,0.28,0.2879,0.61,0.1045,13.0,71.0,84.0
36,02-01-2011,1,0,1,12,False,0,2,0.36,35,0.3333,0.66,0.2985,20,73,93,655.0,30-01-2011,1.0,0.0,1.0,14.0,False,0.0,1.0,0.28,0.303,0.61,0.0896,18.0,104.0,122.0
37,02-01-2011,1,0,1,13,False,0,2,0.36,36,0.3485,0.66,0.1343,11,64,75,656.0,30-01-2011,1.0,0.0,1.0,15.0,False,0.0,1.0,0.3,0.3333,0.56,0.0,14.0,95.0,109.0
38,02-01-2011,1,0,1,14,False,0,3,0.36,37,,0.76,0.194,4,55,59,657.0,30-01-2011,1.0,0.0,1.0,16.0,False,0.0,1.0,0.3,0.3333,0.56,0.0,19.0,104.0,123.0
39,02-01-2011,1,0,1,15,False,0,3,0.34,38,0.3333,0.81,0.1642,19,55,74,658.0,30-01-2011,1.0,0.0,1.0,17.0,False,0.0,1.0,0.3,0.2879,0.56,0.194,6.0,71.0,77.0
40,02-01-2011,1,0,1,16,False,0,3,0.34,39,0.3333,0.71,0.1642,9,67,76,659.0,30-01-2011,1.0,0.0,1.0,18.0,False,0.0,1.0,0.26,0.2576,0.65,0.1642,8.0,57.0,65.0
41,02-01-2011,1,0,1,17,False,0,1,0.34,40,0.3333,0.57,0.194,7,58,65,660.0,30-01-2011,1.0,0.0,1.0,19.0,False,0.0,1.0,0.26,0.2576,0.65,0.194,9.0,46.0,55.0
42,02-01-2011,1,0,1,18,False,0,2,0.36,41,0.3333,0.46,0.3284,10,43,53,661.0,30-01-2011,1.0,0.0,1.0,20.0,False,0.0,2.0,0.26,0.2727,0.65,0.1045,3.0,30.0,33.0
43,02-01-2011,1,0,1,19,False,0,1,0.32,42,0.2879,0.42,0.4478,1,29,30,662.0,30-01-2011,1.0,0.0,1.0,21.0,False,0.0,2.0,0.24,0.2424,0.7,0.1642,3.0,25.0,28.0
44,02-01-2011,1,0,1,20,False,0,1,0.3,43,,0.39,0.3582,5,17,22,663.0,30-01-2011,1.0,0.0,1.0,22.0,False,0.0,2.0,0.24,0.2273,0.7,0.194,2.0,19.0,21.0
45,02-01-2011,1,0,1,21,False,0,1,0.26,44,0.2273,0.44,0.3284,11,20,31,664.0,30-01-2011,1.0,0.0,1.0,23.0,False,0.0,2.0,0.24,0.2121,0.65,0.2836,5.0,16.0,21.0
46,02-01-2011,1,0,1,22,False,0,1,0.24,45,0.2121,0.44,0.2985,0,9,9,665.0,31-01-2011,1.0,0.0,1.0,0.0,False,1.0,2.0,0.24,0.2273,0.65,0.2239,1.0,6.0,7.0
47,02-01-2011,1,0,1,23,False,0,1,0.22,46,0.2273,0.47,0.1642,0,8,8,666.0,31-01-2011,1.0,0.0,1.0,1.0,False,1.0,1.0,0.22,0.2121,0.64,0.2537,2.0,5.0,7.0
48,03-01-2011,1,0,1,0,False,1,1,0.22,47,0.197,0.44,0.3582,0,5,5,667.0,31-01-2011,1.0,0.0,1.0,2.0,False,1.0,1.0,0.22,0.2273,0.64,0.194,0.0,1.0,1.0
49,03-01-2011,1,0,1,1,False,1,1,0.2,48,,0.44,0.4179,0,2,2,668.0,31-01-2011,1.0,0.0,1.0,3.0,False,1.0,1.0,0.22,0.2273,0.64,0.194,0.0,2.0,2.0
50,03-01-2011,1,0,1,4,False,1,1,0.16,49,0.1364,0.47,0.3881,0,1,1,669.0,31-01-2011,1.0,0.0,1.0,4.0,False,1.0,1.0,0.2,0.197,0.59,0.2239,0.0,2.0,2.0
51,03-01-2011,1,0,1,5,False,1,1,0.16,50,0.1364,0.47,0.2836,0,3,3,670.0,31-01-2011,1.0,0.0,1.0,5.0,False,1.0,1.0,0.18,0.1667,0.64,0.2836,0.0,8.0,8.0
52,03-01-2011,1,0,1,6,False,1,1,0.14,51,0.1061,0.5,0.3881,0,30,30,671.0,31-01-2011,1.0,0.0,1.0,6.0,False,1.0,1.0,0.16,0.1364,0.69,0.3284,0.0,37.0,37.0
53,03-01-2011,1,0,1,7,False,1,1,0.14,52,0.1364,0.5,0.194,1,63,64,672.0,31-01-2011,1.0,0.0,1.0,7.0,False,1.0,2.0,0.16,0.1364,0.64,0.2836,1.0,71.0,72.0
54,03-01-2011,1,0,1,8,False,1,1,0.14,53,0.1212,0.5,0.2836,1,153,154,673.0,31-01-2011,1.0,0.0,1.0,8.0,False,1.0,2.0,0.16,0.1364,0.59,0.2836,3.0,182.0,185.0
55,03-01-2011,1,0,1,9,False,1,1,0.16,54,0.1364,0.43,0.3881,7,81,88,674.0,31-01-2011,1.0,0.0,1.0,9.0,False,1.0,2.0,0.16,0.1364,0.59,0.2985,0.0,112.0,112.0
56,03-01-2011,1,0,1,10,False,1,1,0.18,55,0.1667,0.43,0.2537,11,33,44,675.0,31-01-2011,1.0,0.0,1.0,10.0,False,1.0,2.0,0.16,0.1515,0.59,0.194,1.0,68.0,69.0
57,03-01-2011,1,0,1,11,False,1,1,0.2,56,0.1818,0.4,0.3284,10,41,51,676.0,31-01-2011,1.0,0.0,1.0,11.0,False,1.0,2.0,0.16,0.1515,0.59,0.194,2.0,46.0,48.0
58,03-01-2011,1,0,1,12,False,1,1,0.22,57,0.2121,0.35,0.2985,13,48,61,677.0,31-01-2011,1.0,0.0,1.0,12.0,False,1.0,2.0,0.18,0.2121,0.55,0.1045,6.0,62.0,68.0
59,03-01-2011,1,0,1,13,False,1,1,0.24,58,,0.35,0.2836,8,53,61,678.0,31-01-2011,1.0,0.0,1.0,13.0,False,1.0,2.0,0.16,0.2273,0.59,0.0,2.0,52.0,54.0
60,03-01-2011,1,0,1,14,False,1,1,0.26,59,0.2424,0.3,0.2836,11,66,77,679.0,31-01-2011,1.0,0.0,1.0,14.0,False,1.0,2.0,0.18,0.197,0.55,0.1343,1.0,85.0,86.0
61,03-01-2011,1,0,1,15,False,1,1,0.26,60,0.2424,0.3,0.2537,14,58,72,680.0,31-01-2011,1.0,0.0,1.0,15.0,False,1.0,2.0,0.16,0.1818,0.59,0.1343,3.0,41.0,44.0
62,03-01-2011,1,0,1,16,False,1,1,0.26,61,0.2424,0.3,0.2537,9,67,76,681.0,31-01-2011,1.0,0.0,1.0,16.0,False,1.0,2.0,0.16,0.1818,0.56,0.194,3.0,83.0,86.0
63,03-01-2011,1,0,1,17,False,1,1,0.24,62,0.2273,0.3,0.2239,11,146,157,682.0,31-01-2011,1.0,0.0,1.0,17.0,False,1.0,2.0,0.16,0.1515,0.59,0.194,6.0,155.0,161.0
64,03-01-2011,1,0,1,18,False,1,1,0.24,63,0.2576,0.32,0.1045,9,148,157,683.0,31-01-2011,1.0,0.0,1.0,18.0,False,1.0,2.0,0.16,0.1515,0.55,0.2239,3.0,153.0,156.0
65,03-01-2011,1,0,1,19,False,1,1,0.2,64,0.2576,0.47,0.0,8,102,110,684.0,31-01-2011,1.0,0.0,1.0,19.0,False,1.0,1.0,0.3,0.3182,0.61,0.1045,3.0,108.0,111.0
66,03-01-2011,1,0,1,20,False,1,1,0.2,65,,0.47,0.1045,3,49,52,685.0,31-01-2011,1.0,0.0,1.0,20.0,False,1.0,3.0,0.16,0.1667,0.59,0.1642,0.0,78.0,78.0
67,03-01-2011,1,0,1,21,False,1,1,0.18,66,0.197,0.64,0.1343,3,49,52,686.0,31-01-2011,1.0,0.0,1.0,21.0,False,1.0,3.0,0.16,0.197,0.59,0.0896,3.0,53.0,56.0
68,03-01-2011,1,0,1,22,False,1,1,0.14,67,0.1515,0.69,0.1343,0,20,20,687.0,31-01-2011,1.0,0.0,1.0,22.0,False,1.0,2.0,0.16,0.1818,0.59,0.1045,0.0,34.0,34.0
69,03-01-2011,1,0,1,23,False,1,1,0.18,68,0.2121,0.55,0.1045,1,11,12,688.0,31-01-2011,1.0,0.0,1.0,23.0,False,1.0,2.0,0.16,0.197,0.64,0.0896,2.0,15.0,17.0
70,04-01-2011,1,0,1,0,False,2,1,0.16,69,,0.55,0.1045,0,5,5,689.0,01-02-2011,1.0,0.0,2.0,0.0,False,2.0,2.0,0.16,0.1818,0.64,0.1045,2.0,6.0,8.0
71,04-01-2011,1,0,1,1,False,2,1,0.16,70,0.1818,0.59,0.1045,0,2,2,690.0,01-02-2011,1.0,0.0,2.0,1.0,False,2.0,2.0,0.16,0.1818,0.69,0.1045,0.0,3.0,3.0
72,04-01-2011,1,0,1,2,False,2,1,0.14,71,0.1515,0.63,0.1343,0,1,1,691.0,01-02-2011,1.0,0.0,2.0,2.0,False,2.0,2.0,0.16,0.2273,0.69,0.0,0.0,2.0,2.0
73,04-01-2011,1,0,1,4,False,2,1,0.14,72,0.1818,0.63,0.0896,0,2,2,692.0,01-02-2011,1.0,0.0,2.0,3.0,False,2.0,2.0,0.16,0.2273,0.69,0.0,0.0,2.0,2.0
74,04-01-2011,1,0,1,5,False,2,1,0.12,73,0.1515,0.68,0.1045,0,4,4,693.0,01-02-2011,1.0,0.0,2.0,5.0,False,2.0,3.0,0.14,0.2121,0.93,0.0,0.0,3.0,3.0
75,04-01-2011,1,0,1,6,False,2,1,0.12,74,0.1515,0.74,0.1045,0,36,36,694.0,01-02-2011,1.0,0.0,2.0,6.0,False,2.0,3.0,0.14,0.2121,0.93,0.0,0.0,22.0,22.0
76,04-01-2011,1,0,1,7,False,2,1,0.12,75,0.1515,0.74,0.1343,2,92,94,695.0,01-02-2011,1.0,0.0,2.0,7.0,False,2.0,3.0,0.16,0.2273,0.93,0.0,0.0,52.0,52.0
77,04-01-2011,1,0,1,8,False,2,1,0.14,76,0.1515,0.69,0.1642,2,177,179,696.0,01-02-2011,1.0,0.0,2.0,8.0,False,2.0,3.0,0.16,0.2273,0.93,0.0,3.0,132.0,135.0
78,04-01-2011,1,0,1,9,False,2,1,0.16,77,0.1515,0.64,0.2239,2,98,100,697.0,01-02-2011,1.0,0.0,2.0,9.0,False,2.0,2.0,0.16,0.2273,0.93,0.0,2.0,114.0,116.0
79,04-01-2011,1,0,1,10,False,2,2,0.16,78,0.1364,0.69,0.3284,5,37,42,698.0,01-02-2011,1.0,0.0,2.0,10.0,False,2.0,2.0,0.16,0.2273,0.93,0.0,0.0,47.0,47.0
80,04-01-2011,1,0,1,11,False,2,1,0.22,79,0.2121,0.51,0.2985,7,50,57,699.0,01-02-2011,1.0,0.0,2.0,11.0,False,2.0,2.0,0.18,0.2424,0.86,0.0,2.0,49.0,51.0
81,04-01-2011,1,0,1,12,False,2,1,0.22,80,0.2273,0.51,0.1642,12,66,78,700.0,01-02-2011,1.0,0.0,2.0,12.0,False,2.0,2.0,0.2,0.2576,0.86,0.0,2.0,53.0,55.0
82,04-01-2011,1,0,1,13,False,2,1,0.24,81,0.2273,0.56,0.194,18,79,97,701.0,01-02-2011,1.0,0.0,2.0,13.0,False,2.0,2.0,0.2,0.2576,0.86,0.0,3.0,49.0,52.0
83,04-01-2011,1,0,1,14,False,2,1,0.26,82,0.2576,0.52,0.2239,9,54,63,702.0,01-02-2011,1.0,0.0,2.0,14.0,False,2.0,2.0,0.22,0.2576,0.8,0.0896,5.0,49.0,54.0
84,04-01-2011,1,0,1,15,False,2,1,0.28,83,0.2727,0.52,0.2537,17,48,65,703.0,01-02-2011,1.0,0.0,2.0,15.0,False,2.0,2.0,0.24,0.2879,0.75,0.0,7.0,45.0,52.0
85,04-01-2011,1,0,1,16,False,2,1,0.3,84,0.2879,0.49,0.2537,15,68,83,704.0,01-02-2011,1.0,0.0,2.0,16.0,False,2.0,2.0,0.24,0.2424,0.75,0.1343,3.0,61.0,64.0
86,04-01-2011,1,0,1,17,False,2,1,0.28,85,0.2727,0.48,0.2239,10,202,212,705.0,01-02-2011,1.0,0.0,2.0,17.0,False,2.0,2.0,0.24,0.2879,0.75,0.0,4.0,172.0,176.0
87,04-01-2011,1,0,1,18,False,2,1,0.26,86,0.2576,0.48,0.194,3,179,182,706.0,01-02-2011,1.0,0.0,2.0,18.0,False,2.0,2.0,0.24,0.2576,0.81,0.1045,3.0,165.0,168.0
88,04-01-2011,1,0,1,19,False,2,1,0.24,87,0.2576,0.48,0.1045,2,110,112,707.0,01-02-2011,1.0,0.0,2.0,19.0,False,2.0,2.0,0.24,0.2424,0.81,0.1343,3.0,105.0,108.0
89,04-01-2011,1,0,1,20,False,2,1,0.24,88,0.2576,0.48,0.1045,1,53,54,708.0,01-02-2011,1.0,0.0,2.0,20.0,False,2.0,2.0,0.22,0.2273,0.87,0.1343,5.0,69.0,74.0
90,04-01-2011,1,0,1,21,False,2,1,0.22,89,0.2727,0.64,0.0,0,48,48,709.0,01-02-2011,1.0,0.0,2.0,21.0,False,2.0,2.0,0.22,0.2273,0.87,0.1343,0.0,64.0,64.0
91,04-01-2011,1,0,1,22,False,2,1,0.22,90,0.2576,0.64,0.0896,1,34,35,710.0,01-02-2011,1.0,0.0,2.0,22.0,False,2.0,2.0,0.22,0.2576,0.87,0.0896,2.0,34.0,36.0
92,04-01-2011,1,0,1,23,False,2,1,0.2,91,0.2273,0.69,0.0896,2,9,11,711.0,01-02-2011,1.0,0.0,2.0,23.0,False,2.0,3.0,0.2,0.197,0.93,0.194,1.0,15.0,16.0
93,05-01-2011,1,0,1,0,False,3,1,0.2,92,0.2576,0.64,0.0,0,6,6,712.0,02-02-2011,1.0,0.0,2.0,0.0,False,3.0,3.0,0.22,0.2424,0.93,0.1045,0.0,2.0,2.0
94,05-01-2011,1,0,1,1,False,3,1,0.16,93,0.197,0.74,0.0896,0,6,6,713.0,02-02-2011,1.0,0.0,2.0,1.0,False,3.0,3.0,0.22,0.2273,0.93,0.194,0.0,3.0,3.0
95,05-01-2011,1,0,1,2,False,3,1,0.16,94,0.197,0.74,0.0896,0,2,2,714.0,02-02-2011,1.0,0.0,2.0,2.0,False,3.0,3.0,0.22,0.2273,0.93,0.1343,4.0,0.0,4.0
96,05-01-2011,1,0,1,4,False,3,1,0.24,95,0.2273,0.48,0.2239,0,2,2,715.0,02-02-2011,1.0,0.0,2.0,3.0,False,3.0,3.0,0.22,0.2273,0.93,0.1343,0.0,1.0,1.0
97,05-01-2011,1,0,1,5,False,3,1,0.22,96,0.2273,0.47,0.1642,0,3,3,716.0,02-02-2011,1.0,0.0,2.0,4.0,False,3.0,3.0,0.22,0.2121,0.93,0.2836,0.0,1.0,1.0
98,05-01-2011,1,0,1,6,False,3,1,0.2,97,0.197,0.47,0.2239,0,33,33,717.0,02-02-2011,1.0,0.0,2.0,5.0,False,3.0,3.0,0.22,0.2424,0.93,0.1045,0.0,3.0,3.0
99,05-01-2011,1,0,1,7,False,3,1,0.18,98,0.1818,0.43,0.194,1,87,88,718.0,02-02-2011,1.0,0.0,2.0,6.0,False,3.0,3.0,0.22,0.2424,0.93,0.1045,1.0,17.0,18.0
100,05-01-2011,1,0,1,8,False,3,1,0.2,99,0.1818,0.4,0.2985,3,192,195,719.0,02-02-2011,1.0,0.0,2.0,7.0,False,3.0,3.0,0.22,0.2121,0.93,0.2239,1.0,48.0,49.0
101,05-01-2011,1,0,1,9,False,3,1,0.22,100,0.197,0.37,0.3284,6,109,115,720.0,02-02-2011,1.0,0.0,2.0,8.0,False,3.0,3.0,0.22,0.2121,0.93,0.2239,1.0,154.0,155.0
102,05-01-2011,1,0,1,10,False,3,1,0.22,101,0.197,0.37,0.3284,4,53,57,721.0,02-02-2011,1.0,0.0,2.0,9.0,False,3.0,2.0,0.24,0.2576,0.93,0.0896,4.0,119.0,123.0
103,05-01-2011,1,0,1,11,False,3,1,0.26,102,0.2273,0.33,0.3284,12,34,46,722.0,02-02-2011,1.0,0.0,2.0,10.0,False,3.0,2.0,0.22,0.2727,1.0,0.0,2.0,59.0,61.0
104,05-01-2011,1,0,1,12,False,3,1,0.26,103,0.2273,0.33,0.3284,5,74,79,723.0,02-02-2011,1.0,0.0,2.0,11.0,False,3.0,2.0,0.24,0.2273,0.93,0.194,5.0,47.0,52.0
105,05-01-2011,1,0,1,13,False,3,1,0.28,104,0.2576,0.3,0.2985,6,65,71,724.0,02-02-2011,1.0,0.0,2.0,12.0,False,3.0,2.0,0.24,0.2273,0.93,0.2239,3.0,61.0,64.0
106,05-01-2011,1,0,1,14,False,3,1,0.3,105,0.2879,0.28,0.194,10,52,62,725.0,02-02-2011,1.0,0.0,2.0,13.0,False,3.0,1.0,0.34,0.3333,0.93,0.1642,1.0,74.0,75.0
107,05-01-2011,1,0,1,15,False,3,1,0.3,106,0.2879,0.28,0.194,7,55,62,726.0,02-02-2011,1.0,0.0,2.0,14.0,False,3.0,1.0,0.38,0.3939,0.82,0.3881,2.0,61.0,63.0
108,05-01-2011,1,0,1,16,False,3,1,0.3,107,0.3182,0.28,0.0896,4,85,89,727.0,02-02-2011,1.0,0.0,2.0,15.0,False,3.0,1.0,0.38,0.3939,0.76,0.3284,10.0,66.0,76.0
109,05-01-2011,1,0,1,17,False,3,1,0.24,108,0.2273,0.38,0.194,4,186,190,728.0,02-02-2011,1.0,0.0,2.0,16.0,False,3.0,1.0,0.36,0.3333,0.71,0.2985,8.0,95.0,103.0
110,05-01-2011,1,0,1,18,False,3,1,0.24,109,0.2424,0.38,0.1343,3,166,169,729.0,02-02-2011,1.0,0.0,2.0,17.0,False,3.0,1.0,0.36,0.3182,0.53,0.5224,7.0,183.0,190.0
111,05-01-2011,1,0,1,19,False,3,1,0.24,110,0.2576,0.38,0.1045,5,127,132,730.0,02-02-2011,1.0,0.0,2.0,18.0,False,3.0,1.0,0.34,0.2879,0.42,0.5522,7.0,175.0,182.0
112,05-01-2011,1,0,1,20,False,3,1,0.22,111,0.2273,0.47,0.1642,7,82,89,731.0,02-02-2011,1.0,0.0,2.0,19.0,False,3.0,1.0,0.28,0.2424,0.45,0.4925,3.0,88.0,91.0
113,05-01-2011,1,0,1,21,False,3,1,0.2,112,0.197,0.51,0.194,3,40,43,732.0,02-02-2011,1.0,0.0,2.0,20.0,False,3.0,1.0,0.24,0.197,0.48,0.5522,4.0,71.0,75.0
114,05-01-2011,1,0,1,22,False,3,1,0.18,113,0.197,0.55,0.1343,1,41,42,733.0,02-02-2011,1.0,0.0,2.0,21.0,False,3.0,1.0,0.22,0.197,0.47,0.3284,1.0,62.0,63.0
115,05-01-2011,1,0,1,23,False,3,1,0.2,114,0.2576,0.47,0.0,1,18,19,734.0,02-02-2011,1.0,0.0,2.0,22.0,False,3.0,1.0,0.22,0.2121,0.44,0.2537,5.0,35.0,40.0
116,06-01-2011,1,0,1,0,False,4,1,0.18,115,0.2424,0.55,0.0,0,11,11,735.0,02-02-2011,1.0,0.0,2.0,23.0,False,3.0,1.0,0.2,0.1667,0.44,0.4478,3.0,29.0,32.0
117,06-01-2011,1,0,1,1,False,4,1,0.16,116,0.2273,0.64,0.0,0,4,4,736.0,03-02-2011,1.0,0.0,2.0,0.0,False,4.0,1.0,0.2,0.1667,0.4,0.4478,1.0,11.0,12.0
118,06-01-2011,1,0,1,2,False,4,1,0.16,117,0.2273,0.64,0.0,0,2,2,737.0,03-02-2011,1.0,0.0,2.0,1.0,False,4.0,1.0,0.2,0.1515,0.44,0.5224,0.0,5.0,5.0
119,06-01-2011,1,0,1,4,False,4,2,0.16,118,0.197,0.64,0.0896,0,1,1,738.0,03-02-2011,1.0,0.0,2.0,2.0,False,4.0,1.0,0.18,0.1667,0.43,0.2537,0.0,2.0,2.0
